성분,기능성 내용,표현가능사례,표현하기 어려운 사례
비타민 A,"어두운 곳에서 시각적응, 피부와 점막 유지, 상피세포 성장 발달, 동물성 및 녹황색 식물성 식품에서 유래, 로돕신 합성, 눈 영양공급","비타민 A는 레티노이드 및 카로티노이드 총칭, 건강한 피부 유지, 로돕신 형성, 임산부에 중요, 간·생선 간유·전지분유·계란·당근 등 급원","시력 개선, 눈 침침함 해소, 안구건조증·백내장 예방, 여드름 개선 등 질병 또는 증상 치료 암시 표현"
비타민 D,"칼슘과 인의 흡수, 뼈 형성과 유지, 재흡수 촉진, 자외선에 의해 피부에서 합성, 비타민 D2와 D3 존재","혈중 칼슘·인의 균형 유지, 뼈·치아 건강 유지, 생선 간유·기름진 생선·난황 등에 존재",구루병·골다공증 치료 또는 예방 효과 강조 표현
비타민 E,"유해산소로부터 세포 보호, 항산화 작용, 지질과산화 억제, 토코페롤·토코트리에놀 형태","불포화지방산 산화 방지, 세포막 보호, 식물성기름·땅콩·아스파라거스 등 식품에 존재","노화 예방, 암·뇌졸중·간질환·면역기능 향상 등 질병 예방 또는 치료 표현"
비타민 K,"혈액응고, 뼈 형성, 필로퀴논(K1)과 메나퀴논(K2), 응고단백질 활성화에 관여","프로트롬빈 활성화, 혈액 응고 촉진, 브로콜리·시금치 등에 풍부","골절 예방, 골밀도 증가 등 질병 예방 암시 표현"
판토텐산,"지방·탄수화물·단백질 대사, 에너지 생성, CoA 및 ACP 구성 성분","TCA사이클 관여, 지방산 대사 조절, 땅콩·달걀·간 등에 풍부","질병 예방·치료, 피로 회복, 스트레스 완화 등 표현"
엽산,"세포와 혈액 생성, 태아 신경관 정상발달, 혈중 호모시스테인 수준 유지, 프테로일글루탐산 유도체","혈액 조성에 필요, 수용성 비타민, 녹황색 채소·오렌지 주스·간에 풍부","심혈관질환 예방, 태아 기형 예방, 암 예방, 임산부 필수, 구내염 예방, 적혈구 형성 촉진"
비오틴,"지방·탄수화물·단백질 대사, 에너지 생성, 카르복실화 효소 조효소","지질·당질·아미노산 대사 관여, 간·콩팥·난황·견과류 등에 풍부","피부 푸석함 개선, 화장 안 먹는 증상 완화, 모발 힘 없음, 근육통 완화"
비타민 C,"철 흡수, 세포 보호, 항산화 작용, 결합조직 형성, 아스코르브산·디히드로아스코르브산 존재","콜라겐 합성 필수, 유리라디컬 제거, 항산화 작용, 감귤류·딸기·키위 등 식품에 존재","피부 미백, 여드름 개선, 질병 예방, 멜라닌 억제, 면역력 향상, 콜라겐 합성 촉진 강조"
칼슘,"뼈·치아 형성, 신경과 근육 유지, 혈액응고, 골다공증 위험 감소","골격 유지, 근육 수축·이완, 피브린 형성, 우유·해조류·두류에 풍부","성장 촉진, 키 크기, 갱년기 문제 해결, 골다공증 치료, 치아 흔들림 개선"
마그네슘,"에너지 이용, 신경과 근육 유지, 효소 보조인자, 골격 구성","300종 이상 효소작용에 필요, 견과류·전곡·어패류에 풍부","혈액순환 개선, 손발 저림 완화, 고혈압·심장병 예방"
철분,"• 체내 산소운반과 혈액생성에 필요
 • 에너지 생성에 필요
 • 적혈구의 성분으로 산소를 운반함
 • 헤모글로빈, 미오글로빈의 성분
 ◦ 체내 철의 2/3가 적혈구내의 헤모글로빈에 존재하며, 25%는 저장철, 15%는 미오글로빈과 산화적대사반응 효소 구성성분
 ◦ 철은 헴철과 비헴철의 두 형태 존재. 헴철은 흡수 용이, 비헴철은 식이요인 영향","◦ 철분은 헤모글로빈 및 효소를 포함한 많은 단백질의 구성성분
 ◦ 간, 시금치 등에 철분이 풍부함
 ① 다이어트나 월경으로 인해 빈혈이 있는 여성에게 철분 필요","① 철분제면 빈혈 치료에 효과 있음처럼 표현
 ② 철결핍성빈혈 증상 완화 표현"
아연,"• 정상적인 면역기능과 세포분열에 필요
 • 인체 조직에 존재하는 미량원소
 • 핵산과 아미노산 대사에 관여
 ◦ 총량 1.5~2.5g, 대부분 근육과 골격에 존재
 ◦ 200개 이상 효소 구성 성분으로 대사 과정 및 반응 조절 관여","◦ alcohol dehydrogenase, DNA polymerase, SOD 등 많은 효소 포함
 ◦ RNA, DNA 합성 관여, 면역기능 관련
 ◦ 육류, 패류, 콩류 등에 함유
 ① 아연은 미각 유지에 도움을 준다","① 나이 들어 미각 저하 개선 효과 암시
 ② 남성건강, 생활습관병 예방 강조"
구리,"• 철의 운반과 이용에 필요
 • 유해산소로부터 세포를 보호
 • 동식물에 미량 존재하는 필수 미네랄
 • 뼈, 혈액에 존재하며 셀룰로플라스민으로 존재
 • 철 이온 산화 촉진 → 트랜스페린 결합 촉진 → 헤모글로빈 생성 촉진
 • 산화환원효소 구성요소 및 촉매
 • 육류, 어류, 갑각류, 아보카도, 두류 등에 풍부","◦ 철 이용 촉진 → 빈혈 예방
 ◦ 뼈 조직 형성에 필요","◦ 구리 결핍 시 골격·피부·혈관 비정상 형성
 ◦ 뼈 강화·빈혈 예방 등 치료적 표현"
